Year,World,Bitcoin,Etherium,AI
1971,48759.009902292004,0.0,0.0,0.0
1972,51054.404404190005,0.0,0.0,0.0
1973,53542.732421766006,0.0,0.0,0.0
1974,53471.033625958,0.0,0.0,0.0
1975,53955.820087552005,0.0,0.0,0.0
1976,56354.97069727001,0.0,0.0,0.0
1977,58344.364417848,0.0,0.0,0.0
1978,60450.115708168,0.0,0.0,0.0
1979,62249.741438392004,0.0,0.0,0.0
1980,61680.167659616,0.0,0.0,0.0
1981,61273.750769418,0.0,0.0,0.0
1982,60626.58042543,0.0,0.0,0.0
1983,61169.09587663001,0.0,0.0,0.0
1984,63477.736123382005,0.0,0.0,0.0
1985,64452.861452100005,0.0,0.0,0.0
1986,65943.164096648,0.0,0.0,0.0
1987,68001.764037538,0.0,0.0,0.0
1988,70292.894810882,0.0,0.0,0.0
1989,70757.956309122,0.0,0.0,0.0
1990,71847.84566705601,0.0,0.0,0.0
1991,72612.02580822601,0.0,0.0,0.0
1992,72356.39195761601,0.0,0.0,0.0
1993,72806.91620067,0.0,0.0,0.0
1994,73149.202050046,0.0,0.0,0.0
1995,74860.260043956,0.0,0.0,0.0
1996,76105.05322444401,0.0,0.0,0.0
1997,77060.738675422,0.0,0.0,0.0
1998,77212.01671897,0.0,0.0,0.0
1999,78681.630809122,0.0,0.0,0.0
2000,80460.29553832601,0.0,0.0,0.0
2001,80868.767389408,0.0,0.0,0.0
2002,82252.43087529401,0.0,0.0,0.0
2003,84846.62696203002,0.0,0.0,0.0
2004,88717.90345977202,0.0,0.0,0.0
2005,91534.37529692201,0.0,0.0,0.0
2006,93922.52290195001,0.0,0.0,0.0
2007,96528.897058332,0.0,0.0,0.0
2008,97251.31530985402,0.0,0.0,0.0
2009,95963.508590816,0.0,0.0,0.0
2010,101401.71267943401,0.0026235489087082856,0.0,0.0
2011,102761.18408289601,0.13793114309195337,0.0,0.0
2012,103863.356011312,0.09820770918438557,0.0,0.0
2013,105832.87518400601,1.0573547733550412,0.0,0.0
2014,107202.92206096,4.736086332252124,0.0,194.0
2015,108156.40796656402,3.621376098358335,0.0,191.0
2016,109455.93914050801,5.718696714585976,0.0,195.0
2017,111659.21648880802,12.937054861865109,0.0,195.0
2018,114266.82037725001,43.35070415088511,0.0,198.0
2019,114905.813989158,54.66718939603899,0.0,192.0
2020,109913.074519784,67.00048966907475,0.0,269.0
2021,115536.956954928,89.06311155249868,0.0018497550000000002,300.0
2022,117183.551683136,95.59502306523207,0.002332332602739726,330.0
2023,0.0,121.21701220087152,0.00585630602739726,361.0
2024,0.0,158.3903232968921,0.005737202472527472,416.0
2025,0.0,179.49863036710963,0.004742966666666667,0.0
